component,age_years,weight_kg,contains_lithium,contains_lead,contains_mercury,contains_cadmium,contains_cfc,recyclable,material_type,weight_class,condition,region_risk,disposal_history,hazard_score
Battery,9.58,29.91,1,0,0,1,0,0,electrochemical,light,working,medium,informal,100.0
Battery,1.97,17.03,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,4.6,59.19,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,2.35,11.2,1,0,0,1,0,0,electrochemical,light,damaged,low,none,100.0
Battery,1.42,31.48,1,0,0,1,0,0,electrochemical,light,damaged,high,formal,100.0
Battery,10.45,49.03,1,0,0,1,0,0,electrochemical,light,damaged,low,none,100.0
Battery,11.19,33.41,1,0,0,1,0,0,electrochemical,light,damaged,medium,none,100.0
Battery,5.39,30.46,1,0,0,1,0,0,electrochemical,light,working,low,informal,100.0
Battery,3.82,34.88,1,0,0,1,0,0,electrochemical,light,working,medium,informal,100.0
Battery,2.05,3.81,1,0,0,1,0,0,electrochemical,light,broken,medium,none,100.0
Battery,3.43,40.89,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,11.19,49.84,1,0,0,1,0,0,electrochemical,light,broken,low,none,100.0
Battery,11.29,10.88,1,0,0,1,0,0,electrochemical,light,working,high,informal,100.0
Battery,9.65,12.11,1,0,0,1,0,0,electrochemical,light,working,low,none,100.0
Battery,8.15,31.39,1,0,0,1,0,0,electrochemical,light,damaged,high,informal,100.0
Battery,4.83,27.77,1,0,0,1,0,0,electrochemical,light,damaged,high,informal,100.0
Battery,3.17,53.98,1,0,0,1,0,0,electrochemical,light,damaged,medium,none,100.0
Battery,11.31,37.67,1,0,0,1,0,0,electrochemical,light,damaged,low,none,100.0
Battery,7.63,32.01,1,0,0,1,0,0,electrochemical,light,broken,high,formal,100.0
Battery,9.06,2.02,1,0,0,1,0,0,electrochemical,light,damaged,high,none,100.0
Battery,4.43,49.28,1,0,0,1,0,0,electrochemical,light,working,high,formal,100.0
Battery,2.22,13.76,1,0,0,1,0,0,electrochemical,light,broken,high,informal,100.0
Battery,8.48,32.57,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,5.11,27.73,1,0,0,1,0,0,electrochemical,light,broken,low,informal,100.0
Battery,6.32,36.69,1,0,0,1,0,0,electrochemical,light,working,high,none,100.0
Battery,11.11,42.44,1,0,0,1,0,0,electrochemical,light,working,medium,informal,100.0
Battery,5.38,44.19,1,0,0,1,0,0,electrochemical,light,broken,high,informal,100.0
Battery,5.09,3.3,1,0,0,1,0,0,electrochemical,light,damaged,high,formal,100.0
Battery,4.34,23.9,1,0,0,1,0,0,electrochemical,light,damaged,high,informal,100.0
Battery,5.7,13.48,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,6.23,25.14,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,11.55,8.93,1,0,0,1,0,0,electrochemical,light,damaged,low,none,100.0
Battery,6.28,35.73,1,0,0,1,0,0,electrochemical,light,working,high,formal,100.0
Battery,2.69,2.2,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,9.42,27.2,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,2.59,51.71,1,0,0,1,0,0,electrochemical,light,broken,medium,formal,100.0
Battery,7.91,24.53,1,0,0,1,0,0,electrochemical,light,working,low,none,100.0
Battery,3.05,13.87,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,9.7,10.72,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,10.34,49.81,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,3.87,53.78,1,0,0,1,0,0,electrochemical,light,working,low,formal,92.97
Battery,10.77,49.05,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,7.29,16.09,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,11.41,45.82,1,0,0,1,0,0,electrochemical,light,working,high,informal,100.0
Battery,10.79,47.99,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,3.47,8.37,1,0,0,1,0,0,electrochemical,light,broken,high,informal,100.0
Battery,2.47,16.35,1,0,0,1,0,0,electrochemical,light,working,high,formal,100.0
Battery,6.87,39.09,1,0,0,1,0,0,electrochemical,light,broken,low,formal,100.0
PCB,2.07,54.0,0,1,0,0,0,1,composite,light,broken,medium,informal,100.0
PCB,11.02,25.13,0,1,0,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,2.41,44.28,0,1,0,0,0,1,composite,light,working,medium,formal,83.8
PCB,4.59,43.15,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,8.13,56.21,0,1,0,0,0,1,composite,light,broken,low,formal,100.0
PCB,1.09,29.79,0,1,0,0,0,1,composite,light,damaged,medium,none,94.23
PCB,1.73,4.52,0,1,0,0,0,1,composite,light,broken,medium,none,100.0
PCB,9.92,47.97,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,4.65,5.5,0,1,0,0,0,1,composite,light,broken,low,none,100.0
PCB,6.73,52.38,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,8.46,50.95,0,1,0,0,0,1,composite,light,working,medium,formal,100.0
PCB,0.89,41.85,0,1,0,0,0,1,composite,light,damaged,high,none,100.0
PCB,11.36,28.46,0,1,0,0,0,1,composite,light,broken,high,informal,100.0
PCB,1.89,4.63,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,1.25,18.92,0,1,0,0,0,1,composite,light,damaged,high,informal,100.0
PCB,7.58,13.99,0,1,0,0,0,1,composite,light,working,high,formal,100.0
PCB,10.56,31.74,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,5.12,28.8,0,1,0,0,0,1,composite,light,damaged,high,none,100.0
PCB,9.34,25.07,0,1,0,0,0,1,composite,light,damaged,high,formal,100.0
PCB,3.8,17.79,0,1,0,0,0,1,composite,light,working,low,formal,84.34
PCB,11.86,25.67,0,1,0,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,10.61,56.68,0,1,0,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,11.9,13.91,0,1,0,0,0,1,composite,light,broken,medium,informal,100.0
PCB,2.53,13.24,0,1,0,0,0,1,composite,light,working,high,informal,100.0
PCB,1.17,58.15,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,9.22,41.76,0,1,0,0,0,1,composite,light,working,high,formal,99.37
PCB,3.07,32.22,0,1,0,0,0,1,composite,light,damaged,medium,formal,96.24
PCB,1.99,53.33,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,8.04,33.06,0,1,0,0,0,1,composite,light,working,medium,informal,100.0
PCB,6.2,4.87,0,1,0,0,0,1,composite,light,working,medium,formal,90.64
PCB,10.29,29.71,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,7.01,16.03,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,10.28,52.04,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,9.16,9.52,0,1,0,0,0,1,composite,light,broken,high,formal,100.0
PCB,10.0,7.74,0,1,0,0,0,1,composite,light,damaged,high,formal,100.0
PCB,6.34,0.39,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,7.77,15.6,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,6.72,57.78,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,1.68,56.23,0,1,0,0,0,1,composite,light,damaged,low,informal,97.56
PCB,7.19,20.76,0,1,0,0,0,1,composite,light,damaged,low,none,100.0
PCB,11.7,58.13,0,1,0,0,0,1,composite,light,broken,low,none,100.0
PCB,9.36,41.0,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,5.4,27.09,0,1,0,0,0,1,composite,light,working,high,none,100.0
PCB,3.64,57.05,0,1,0,0,0,1,composite,light,working,medium,none,100.0
PCB,5.33,38.32,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,3.14,12.79,0,1,0,0,0,1,composite,light,working,medium,informal,96.95
PCB,10.44,28.4,0,1,0,0,0,1,composite,light,broken,low,none,100.0
PCB,10.22,45.66,0,1,0,0,0,1,composite,light,damaged,low,formal,100.0
PCB,11.09,37.0,0,1,0,0,0,1,composite,light,broken,medium,formal,100.0
PCB,5.45,12.04,0,1,0,0,0,1,composite,light,damaged,low,informal,100.0
PCB,3.59,47.86,0,1,0,0,0,1,composite,light,damaged,medium,formal,97.62
PCB,6.02,36.01,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,9.47,2.39,0,1,0,0,0,1,composite,light,damaged,low,formal,100.0
PCB,8.58,33.58,0,1,0,0,0,1,composite,light,working,medium,informal,100.0
PCB,1.51,21.04,0,1,0,0,0,1,composite,light,working,low,informal,92.59
PCB,8.43,48.04,0,1,0,0,0,1,composite,light,working,low,formal,88.86
PCB,7.82,42.39,0,1,0,0,0,1,composite,light,working,high,formal,100.0
PCB,10.52,42.85,0,1,0,0,0,1,composite,light,broken,medium,none,100.0
PCB,1.42,53.69,0,1,0,0,0,1,composite,light,damaged,high,informal,100.0
PCB,8.91,4.91,0,1,0,0,0,1,composite,light,working,low,formal,100.0
PCB,10.53,13.16,0,1,0,0,0,1,composite,light,broken,medium,formal,100.0
PCB,6.23,33.33,0,1,0,0,0,1,composite,light,broken,low,none,100.0
PCB,11.71,39.02,0,1,0,0,0,1,composite,light,working,medium,formal,100.0
PCB,8.86,44.56,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,11.86,2.42,0,1,0,0,0,1,composite,light,broken,medium,informal,100.0
PCB,10.54,54.04,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,10.99,12.65,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,10.95,10.79,0,1,0,0,0,1,composite,light,working,high,formal,100.0
PCB,10.33,29.54,0,1,0,0,0,1,composite,light,working,high,informal,100.0
PCB,7.32,9.82,0,1,0,0,0,1,composite,light,damaged,high,formal,100.0
PCB,8.05,19.52,0,1,0,0,0,1,composite,light,broken,low,none,100.0
PCB,1.35,10.19,0,1,0,0,0,1,composite,light,damaged,medium,none,99.52
PCB,5.46,14.93,0,1,0,0,0,1,composite,light,damaged,high,formal,100.0
PCB,5.96,50.65,0,1,0,0,0,1,composite,light,broken,medium,none,100.0
PCB,2.87,6.72,0,1,0,0,0,1,composite,light,damaged,low,informal,99.92
PCB,11.24,18.98,0,1,0,0,0,1,composite,light,damaged,low,formal,97.86
PCB,11.85,57.91,0,1,0,0,0,1,composite,light,working,high,informal,100.0
PCB,6.43,29.34,0,1,0,0,0,1,composite,light,damaged,low,formal,100.0
PCB,4.04,42.28,0,1,0,0,0,1,composite,light,working,medium,none,97.96
PCB,5.6,52.09,0,1,0,0,0,1,composite,light,working,medium,none,96.12
PCB,11.36,41.0,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,11.21,41.37,0,1,0,0,0,1,composite,light,damaged,low,none,100.0
PCB,5.03,39.08,0,1,0,0,0,1,composite,light,working,medium,none,100.0
PCB,9.5,34.03,0,1,0,0,0,1,composite,light,broken,high,informal,100.0
PCB,4.26,40.06,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,1.88,32.67,0,1,0,0,0,1,composite,light,working,medium,informal,95.21
PCB,5.06,41.73,0,1,0,0,0,1,composite,light,damaged,medium,formal,94.89
PCB,1.34,36.21,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,4.87,51.8,0,1,0,0,0,1,composite,light,damaged,medium,formal,95.21
PCB,5.09,34.81,0,1,0,0,0,1,composite,light,damaged,medium,none,98.97
PCB,9.85,43.09,0,1,0,0,0,1,composite,light,broken,low,formal,100.0
PCB,11.16,3.63,0,1,0,0,0,1,composite,light,broken,medium,formal,100.0
PCB,6.09,15.41,0,1,0,0,0,1,composite,light,damaged,medium,none,98.66
PCB,7.52,42.97,0,1,0,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,2.58,40.87,0,1,0,0,0,1,composite,light,working,medium,none,95.74
PCB,3.45,57.78,0,1,0,0,0,1,composite,light,damaged,high,informal,100.0
PCB,1.0,37.99,0,1,0,0,0,1,composite,light,broken,medium,none,100.0
PCB,2.94,36.66,0,1,0,0,0,1,composite,light,damaged,high,none,100.0
PCB,4.56,14.22,0,1,0,0,0,1,composite,light,broken,medium,none,100.0
PCB,1.6,37.44,0,1,0,0,0,1,composite,light,damaged,medium,formal,92.61
PCB,8.97,51.77,0,1,0,0,0,1,composite,light,working,low,formal,98.67
PCB,6.79,13.92,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,11.86,8.2,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,11.9,7.71,0,1,0,0,0,1,composite,light,working,high,informal,100.0
PCB,3.65,4.77,0,1,0,0,0,1,composite,light,working,high,formal,92.98
PCB,4.58,4.17,0,1,0,0,0,1,composite,light,damaged,low,none,97.65
PCB,3.19,32.41,0,1,0,0,0,1,composite,light,broken,medium,informal,100.0
PCB,8.2,59.65,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,5.85,3.62,0,1,0,0,0,1,composite,light,damaged,high,formal,100.0
PCB,6.66,5.81,0,1,0,0,0,1,composite,light,damaged,high,informal,100.0
PCB,8.15,47.73,0,1,0,0,0,1,composite,light,broken,low,informal,100.0
PCB,10.18,31.26,0,1,0,0,0,1,composite,light,damaged,low,none,100.0
PCB,1.97,49.57,0,1,0,0,0,1,composite,light,broken,high,formal,100.0
PCB,4.64,5.27,0,1,0,0,0,1,composite,light,broken,medium,informal,100.0
PCB,5.07,26.84,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,10.29,12.52,0,1,0,0,0,1,composite,light,broken,low,none,100.0
PCB,4.88,52.68,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,5.13,10.42,0,1,0,0,0,1,composite,light,damaged,medium,none,100.0
PCB,7.87,49.35,0,1,0,0,0,1,composite,light,working,high,none,100.0
PCB,9.3,10.5,0,1,0,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,4.73,4.1,0,1,0,0,0,1,composite,light,working,low,none,95.7
PCB,5.47,18.72,0,1,0,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,7.87,12.97,0,1,0,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,11.94,3.48,0,1,0,0,0,1,composite,light,damaged,high,formal,100.0
PCB,2.14,7.29,0,1,0,0,0,1,composite,light,damaged,low,none,97.63
PCB,11.96,48.84,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,6.56,25.57,0,1,0,0,0,1,composite,light,working,high,informal,100.0
PCB,5.26,49.65,0,1,0,0,0,1,composite,light,broken,high,formal,100.0
PCB,5.29,28.89,0,1,0,0,0,1,composite,light,working,medium,none,98.78
PCB,2.97,0.74,0,1,0,0,0,1,composite,light,working,high,none,97.1
PCB,11.54,29.28,0,1,0,0,0,1,composite,light,working,medium,informal,100.0
PCB,4.23,44.24,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,5.78,47.1,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,5.53,15.29,0,1,0,0,0,1,composite,light,broken,low,none,100.0
PCB,5.81,38.24,0,1,0,0,0,1,composite,light,damaged,high,informal,100.0
PCB,6.46,9.02,0,1,0,0,0,1,composite,light,broken,medium,none,100.0
PCB,0.98,5.1,0,1,0,0,0,1,composite,light,broken,low,formal,93.97
PCB,3.91,20.99,0,1,0,0,0,1,composite,light,broken,medium,formal,100.0
PCB,2.5,5.91,0,1,0,0,0,1,composite,light,damaged,high,formal,100.0
PCB,4.89,12.35,0,1,0,0,0,1,composite,light,working,medium,none,100.0
PCB,7.9,31.82,0,1,0,0,0,1,composite,light,working,high,none,100.0
PCB,9.1,48.71,0,1,0,0,0,1,composite,light,damaged,low,informal,100.0
PCB,11.17,13.48,0,1,0,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,3.27,7.3,0,1,0,0,0,1,composite,light,working,high,informal,100.0
PCB,3.79,48.96,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,5.8,50.52,0,1,0,0,0,1,composite,light,broken,high,none,100.0
PCB,2.54,32.71,0,1,0,0,0,1,composite,light,broken,high,formal,100.0
PCB,8.85,49.07,0,1,0,0,0,1,composite,light,working,medium,none,100.0
PCB,8.93,32.54,0,1,0,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,10.54,38.18,0,1,0,0,0,1,composite,light,broken,low,informal,100.0
Mobile,0.61,14.81,1,0,0,0,0,1,composite,light,broken,high,formal,100.0
Mobile,2.85,33.31,1,0,0,0,0,1,composite,light,broken,medium,formal,94.72
Mobile,4.59,47.03,1,0,0,0,0,1,composite,light,damaged,low,none,87.7
Mobile,2.21,18.34,1,0,0,0,0,1,composite,light,broken,high,informal,100.0
Mobile,5.66,43.33,1,0,0,0,0,1,composite,light,broken,medium,informal,100.0
Mobile,0.54,37.18,1,0,0,0,0,1,composite,light,damaged,high,formal,90.64
Mobile,7.26,28.86,1,0,0,0,0,1,composite,light,damaged,low,informal,100.0
Mobile,7.44,40.59,1,0,0,0,0,1,composite,light,broken,medium,none,100.0
Mobile,6.23,4.63,1,0,0,0,0,1,composite,light,working,medium,none,96.27
Mobile,6.45,26.42,1,0,0,0,0,1,composite,light,working,medium,informal,97.47
Mobile,1.52,13.24,1,0,0,0,0,1,composite,light,damaged,high,none,100.0
Mobile,5.34,38.17,1,0,0,0,0,1,composite,light,broken,low,informal,100.0
Mobile,10.16,23.04,1,0,0,0,0,1,composite,light,damaged,medium,formal,93.36
Mobile,0.8,1.46,1,0,0,0,0,1,composite,light,broken,medium,informal,96.26
Mobile,3.94,56.44,1,0,0,0,0,1,composite,light,damaged,medium,none,95.25
Mobile,9.73,27.5,1,0,0,0,0,1,composite,light,damaged,low,formal,96.28
Mobile,8.87,29.79,1,0,0,0,0,1,composite,light,damaged,high,none,100.0
Mobile,2.06,45.08,1,0,0,0,0,1,composite,light,damaged,high,formal,91.08
Mobile,1.16,16.94,1,0,0,0,0,1,composite,light,damaged,low,none,86.03
Mobile,9.23,26.99,1,0,0,0,0,1,composite,light,broken,low,informal,100.0
Mobile,0.89,3.77,1,0,0,0,0,1,composite,light,broken,low,informal,90.01
Mobile,10.85,1.32,1,0,0,0,0,1,composite,light,damaged,high,informal,100.0
Mobile,11.27,3.14,1,0,0,0,0,1,composite,light,damaged,medium,none,99.56
