component,age_years,weight_kg,contains_lithium,contains_lead,contains_mercury,contains_cadmium,recyclable,material_type,weight_class,condition,region_risk,disposal_history,hazard_score
Battery,2.14,15.23,1,0,0,1,0,electrochemical,light,damaged,low,formal,85.84
Battery,9.95,14.13,1,0,0,1,0,electrochemical,light,working,low,none,95.76
Battery,4.8,7.42,1,0,0,1,0,electrochemical,light,broken,high,none,100.0
Battery,1.46,15.55,1,0,0,1,0,electrochemical,light,damaged,medium,none,100.0
Battery,1.78,9.86,1,0,0,1,0,electrochemical,light,working,medium,formal,89.22
Battery,7.21,19.24,1,0,0,1,0,electrochemical,light,damaged,medium,none,100.0
Battery,3.07,19.26,1,0,0,1,0,electrochemical,light,working,high,formal,91.96
Battery,11.92,1.49,1,0,0,1,0,electrochemical,light,damaged,high,informal,100.0
Battery,7.74,13.92,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,7.63,5.55,1,0,0,1,0,electrochemical,light,working,medium,informal,100.0
Battery,7.21,1.56,1,0,0,1,0,electrochemical,light,broken,high,none,100.0
Battery,9.86,13.7,1,0,0,1,0,electrochemical,light,working,high,none,100.0
Battery,11.42,14.52,1,0,0,1,0,electrochemical,light,damaged,medium,none,100.0
Battery,9.82,19.75,1,0,0,1,0,electrochemical,light,working,medium,informal,99.66
Battery,11.65,16.84,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,10.44,16.26,1,0,0,1,0,electrochemical,light,broken,high,informal,100.0
Battery,9.34,18.9,1,0,0,1,0,electrochemical,light,broken,low,informal,100.0
Battery,8.22,12.37,1,0,0,1,0,electrochemical,light,damaged,low,none,100.0
Battery,6.48,15.45,1,0,0,1,0,electrochemical,light,damaged,high,informal,100.0
Battery,5.14,2.69,1,0,0,1,0,electrochemical,light,working,high,informal,100.0
Battery,8.6,4.27,1,0,0,1,0,electrochemical,light,working,low,informal,88.39
Battery,5.53,18.08,1,0,0,1,0,electrochemical,light,damaged,medium,none,100.0
Battery,5.06,12.45,1,0,0,1,0,electrochemical,light,broken,high,formal,100.0
Battery,3.47,9.19,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,7.78,4.81,1,0,0,1,0,electrochemical,light,working,low,formal,82.94
Battery,4.48,17.94,1,0,0,1,0,electrochemical,light,damaged,medium,formal,96.32
Battery,2.71,0.83,1,0,0,1,0,electrochemical,light,working,medium,formal,79.52
Battery,4.69,10.07,1,0,0,1,0,electrochemical,light,damaged,low,none,94.86
Battery,7.72,1.64,1,0,0,1,0,electrochemical,light,broken,high,formal,100.0
Battery,9.1,3.7,1,0,0,1,0,electrochemical,light,working,medium,informal,97.44
Battery,7.61,7.38,1,0,0,1,0,electrochemical,light,damaged,high,formal,100.0
Battery,10.79,10.24,1,0,0,1,0,electrochemical,light,damaged,low,informal,100.0
Battery,6.63,4.86,1,0,0,1,0,electrochemical,light,damaged,medium,formal,92.71
Battery,4.27,2.4,1,0,0,1,0,electrochemical,light,broken,medium,none,100.0
Battery,9.58,9.97,1,0,0,1,0,electrochemical,light,working,medium,informal,98.73
Battery,1.97,5.68,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,4.6,19.73,1,0,0,1,0,electrochemical,light,damaged,low,formal,88.68
Battery,2.35,3.74,1,0,0,1,0,electrochemical,light,damaged,low,none,90.31
Battery,1.42,10.49,1,0,0,1,0,electrochemical,light,damaged,high,formal,98.27
Battery,10.45,16.34,1,0,0,1,0,electrochemical,light,damaged,low,none,100.0
Battery,11.19,11.14,1,0,0,1,0,electrochemical,light,damaged,medium,none,100.0
Battery,5.39,10.16,1,0,0,1,0,electrochemical,light,working,low,informal,87.46
Battery,3.82,11.63,1,0,0,1,0,electrochemical,light,working,medium,informal,92.99
Battery,2.05,1.28,1,0,0,1,0,electrochemical,light,broken,medium,none,100.0
Battery,3.43,13.63,1,0,0,1,0,electrochemical,light,broken,medium,informal,99.03
Battery,11.19,16.61,1,0,0,1,0,electrochemical,light,broken,low,none,100.0
Battery,11.29,3.63,1,0,0,1,0,electrochemical,light,working,high,informal,100.0
Battery,9.65,4.04,1,0,0,1,0,electrochemical,light,working,low,none,95.03
Battery,8.15,10.47,1,0,0,1,0,electrochemical,light,damaged,high,informal,100.0
Battery,4.83,9.26,1,0,0,1,0,electrochemical,light,damaged,high,informal,100.0
Battery,3.17,17.99,1,0,0,1,0,electrochemical,light,damaged,medium,none,94.27
Battery,11.31,12.56,1,0,0,1,0,electrochemical,light,damaged,low,none,100.0
Battery,7.63,10.67,1,0,0,1,0,electrochemical,light,broken,high,formal,100.0
Battery,9.06,0.68,1,0,0,1,0,electrochemical,light,damaged,high,none,100.0
Battery,4.43,16.43,1,0,0,1,0,electrochemical,light,working,high,formal,98.47
Battery,2.22,4.59,1,0,0,1,0,electrochemical,light,broken,high,informal,100.0
Battery,8.48,10.86,1,0,0,1,0,electrochemical,light,damaged,medium,formal,99.86
Battery,5.11,9.25,1,0,0,1,0,electrochemical,light,broken,low,informal,100.0
Battery,6.32,12.23,1,0,0,1,0,electrochemical,light,working,high,none,100.0
Battery,11.11,14.15,1,0,0,1,0,electrochemical,light,working,medium,informal,100.0
Battery,5.38,14.73,1,0,0,1,0,electrochemical,light,broken,high,informal,100.0
Battery,5.09,1.1,1,0,0,1,0,electrochemical,light,damaged,high,formal,100.0
Battery,4.34,7.97,1,0,0,1,0,electrochemical,light,damaged,high,informal,100.0
Battery,5.7,4.5,1,0,0,1,0,electrochemical,light,damaged,low,formal,88.57
Battery,6.23,8.38,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,11.55,2.98,1,0,0,1,0,electrochemical,light,damaged,low,none,100.0
Battery,6.28,11.91,1,0,0,1,0,electrochemical,light,working,high,formal,95.07
Battery,2.69,0.74,1,0,0,1,0,electrochemical,light,damaged,medium,formal,92.85
Battery,9.42,9.07,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,2.59,17.24,1,0,0,1,0,electrochemical,light,broken,medium,formal,98.93
Battery,7.91,8.18,1,0,0,1,0,electrochemical,light,working,low,none,92.13
Battery,3.05,4.63,1,0,0,1,0,electrochemical,light,damaged,low,formal,88.78
Battery,9.7,3.58,1,0,0,1,0,electrochemical,light,damaged,low,formal,99.89
Battery,10.34,16.61,1,0,0,1,0,electrochemical,light,damaged,medium,formal,97.24
Battery,3.87,17.93,1,0,0,1,0,electrochemical,light,working,low,formal,75.97
Battery,10.77,16.35,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,7.29,5.37,1,0,0,1,0,electrochemical,light,damaged,medium,informal,97.73
Battery,11.41,15.27,1,0,0,1,0,electrochemical,light,working,high,informal,100.0
Battery,10.79,16.0,1,0,0,1,0,electrochemical,light,damaged,low,formal,100.0
Battery,3.47,2.8,1,0,0,1,0,electrochemical,light,broken,high,informal,100.0
Battery,2.47,5.45,1,0,0,1,0,electrochemical,light,working,high,formal,84.45
Battery,6.87,13.03,1,0,0,1,0,electrochemical,light,broken,low,formal,100.0
PCB,2.07,18.0,0,1,0,0,1,composite,light,broken,medium,informal,95.47
PCB,11.02,8.38,0,1,0,0,1,composite,light,damaged,medium,formal,98.04
PCB,2.41,14.76,0,1,0,0,1,composite,light,working,medium,formal,73.8
PCB,4.59,14.38,0,1,0,0,1,composite,light,damaged,medium,informal,93.31
PCB,8.13,18.74,0,1,0,0,1,composite,light,broken,low,formal,98.19
PCB,1.09,9.93,0,1,0,0,1,composite,light,damaged,medium,none,84.23
PCB,1.73,1.51,0,1,0,0,1,composite,light,broken,medium,none,90.84
PCB,9.92,15.99,0,1,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,4.65,1.84,0,1,0,0,1,composite,light,broken,low,none,91.3
PCB,6.73,17.46,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,8.46,16.99,0,1,0,0,1,composite,light,working,medium,formal,90.43
PCB,0.89,13.95,0,1,0,0,1,composite,light,damaged,high,none,96.6
PCB,11.36,9.49,0,1,0,0,1,composite,light,broken,high,informal,100.0
PCB,1.89,1.55,0,1,0,0,1,composite,light,damaged,medium,none,93.27
PCB,1.25,6.31,0,1,0,0,1,composite,light,damaged,high,informal,100.0
PCB,7.58,4.67,0,1,0,0,1,composite,light,working,high,formal,93.23
PCB,10.56,10.58,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,5.12,9.6,0,1,0,0,1,composite,light,damaged,high,none,98.41
PCB,9.34,8.36,0,1,0,0,1,composite,light,damaged,high,formal,100.0
PCB,3.8,5.93,0,1,0,0,1,composite,light,working,low,formal,74.34
PCB,11.86,8.56,0,1,0,0,1,composite,light,damaged,medium,formal,95.34
PCB,10.61,18.9,0,1,0,0,1,composite,light,damaged,medium,formal,92.7
PCB,11.9,4.64,0,1,0,0,1,composite,light,broken,medium,informal,100.0
PCB,2.53,4.42,0,1,0,0,1,composite,light,working,high,informal,93.33
PCB,1.17,19.38,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,9.22,13.92,0,1,0,0,1,composite,light,working,high,formal,89.37
PCB,3.07,10.74,0,1,0,0,1,composite,light,damaged,medium,formal,86.24
PCB,1.99,17.78,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,8.04,11.02,0,1,0,0,1,composite,light,working,medium,informal,97.18
PCB,6.2,1.63,0,1,0,0,1,composite,light,working,medium,formal,80.64
PCB,10.29,9.91,0,1,0,0,1,composite,light,damaged,medium,none,100.0
PCB,7.01,5.35,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,10.28,17.35,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,9.16,3.18,0,1,0,0,1,composite,light,broken,high,formal,100.0
PCB,10.0,2.59,0,1,0,0,1,composite,light,damaged,high,formal,100.0
PCB,6.34,0.14,0,1,0,0,1,composite,light,damaged,medium,none,98.2
PCB,7.77,5.2,0,1,0,0,1,composite,light,damaged,medium,none,99.39
PCB,6.72,19.26,0,1,0,0,1,composite,light,damaged,medium,none,95.46
PCB,1.68,18.75,0,1,0,0,1,composite,light,damaged,low,informal,87.56
PCB,7.19,6.92,0,1,0,0,1,composite,light,damaged,low,none,94.33
PCB,11.7,19.38,0,1,0,0,1,composite,light,broken,low,none,100.0
PCB,9.36,13.67,0,1,0,0,1,composite,light,damaged,medium,none,92.09
PCB,5.4,9.03,0,1,0,0,1,composite,light,working,high,none,98.97
PCB,3.64,19.02,0,1,0,0,1,composite,light,working,medium,none,91.61
PCB,5.33,12.77,0,1,0,0,1,composite,light,damaged,medium,none,98.98
PCB,3.14,4.27,0,1,0,0,1,composite,light,working,medium,informal,86.95
PCB,10.44,9.47,0,1,0,0,1,composite,light,broken,low,none,100.0
PCB,10.22,15.22,0,1,0,0,1,composite,light,damaged,low,formal,94.89
PCB,11.09,12.34,0,1,0,0,1,composite,light,broken,medium,formal,100.0
PCB,5.45,4.02,0,1,0,0,1,composite,light,damaged,low,informal,90.51
PCB,3.59,15.95,0,1,0,0,1,composite,light,damaged,medium,formal,87.62
PCB,6.02,12.0,0,1,0,0,1,composite,light,damaged,medium,none,93.47
PCB,9.47,0.8,0,1,0,0,1,composite,light,damaged,low,formal,100.0
PCB,8.58,11.2,0,1,0,0,1,composite,light,working,medium,informal,94.2
PCB,1.51,7.02,0,1,0,0,1,composite,light,working,low,informal,82.59
PCB,8.43,16.01,0,1,0,0,1,composite,light,working,low,formal,78.86
PCB,7.82,14.13,0,1,0,0,1,composite,light,working,high,formal,99.63
PCB,10.52,14.28,0,1,0,0,1,composite,light,broken,medium,none,100.0
PCB,1.42,17.9,0,1,0,0,1,composite,light,damaged,high,informal,100.0
PCB,8.91,1.64,0,1,0,0,1,composite,light,working,low,formal,92.43
PCB,10.53,4.39,0,1,0,0,1,composite,light,broken,medium,formal,100.0
PCB,6.23,11.11,0,1,0,0,1,composite,light,broken,low,none,100.0
PCB,11.71,13.01,0,1,0,0,1,composite,light,working,medium,formal,93.36
PCB,8.86,14.86,0,1,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,11.86,0.81,0,1,0,0,1,composite,light,broken,medium,informal,100.0
PCB,10.54,18.02,0,1,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,10.99,4.22,0,1,0,0,1,composite,light,damaged,medium,none,100.0
PCB,10.95,3.6,0,1,0,0,1,composite,light,working,high,formal,92.26
PCB,10.33,9.85,0,1,0,0,1,composite,light,working,high,informal,93.06
PCB,7.32,3.28,0,1,0,0,1,composite,light,damaged,high,formal,99.72
PCB,8.05,6.51,0,1,0,0,1,composite,light,broken,low,none,94.44
PCB,1.35,3.4,0,1,0,0,1,composite,light,damaged,medium,none,89.52
PCB,5.46,4.98,0,1,0,0,1,composite,light,damaged,high,formal,99.93
PCB,5.96,16.88,0,1,0,0,1,composite,light,broken,medium,none,100.0
PCB,2.87,2.25,0,1,0,0,1,composite,light,damaged,low,informal,89.92
PCB,11.24,6.33,0,1,0,0,1,composite,light,damaged,low,formal,87.86
PCB,11.85,19.3,0,1,0,0,1,composite,light,working,high,informal,100.0
PCB,6.43,9.78,0,1,0,0,1,composite,light,damaged,low,formal,92.06
PCB,4.04,14.1,0,1,0,0,1,composite,light,working,medium,none,87.96
PCB,5.6,17.36,0,1,0,0,1,composite,light,working,medium,none,86.12
PCB,11.36,13.67,0,1,0,0,1,composite,light,damaged,medium,none,99.2
PCB,11.21,13.79,0,1,0,0,1,composite,light,damaged,low,none,97.27
PCB,5.03,13.03,0,1,0,0,1,composite,light,working,medium,none,92.06
PCB,9.5,11.34,0,1,0,0,1,composite,light,broken,high,informal,100.0
PCB,4.26,13.36,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,1.88,10.89,0,1,0,0,1,composite,light,working,medium,informal,85.21
PCB,5.06,13.91,0,1,0,0,1,composite,light,damaged,medium,formal,84.89
PCB,1.34,12.07,0,1,0,0,1,composite,light,damaged,medium,informal,90.21
PCB,4.87,17.27,0,1,0,0,1,composite,light,damaged,medium,formal,85.21
PCB,5.09,11.61,0,1,0,0,1,composite,light,damaged,medium,none,88.97
PCB,9.85,14.37,0,1,0,0,1,composite,light,broken,low,formal,96.81
PCB,11.16,1.21,0,1,0,0,1,composite,light,broken,medium,formal,100.0
PCB,6.09,5.14,0,1,0,0,1,composite,light,damaged,medium,none,88.66
PCB,7.52,14.33,0,1,0,0,1,composite,light,damaged,medium,formal,94.61
PCB,2.58,13.63,0,1,0,0,1,composite,light,working,medium,none,85.74
PCB,3.45,19.26,0,1,0,0,1,composite,light,damaged,high,informal,97.39
PCB,1.0,12.67,0,1,0,0,1,composite,light,broken,medium,none,95.06
PCB,2.94,12.22,0,1,0,0,1,composite,light,damaged,high,none,100.0
PCB,4.56,4.75,0,1,0,0,1,composite,light,broken,medium,none,100.0
PCB,1.6,12.48,0,1,0,0,1,composite,light,damaged,medium,formal,82.61
PCB,8.97,17.26,0,1,0,0,1,composite,light,working,low,formal,88.67
PCB,6.79,4.65,0,1,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,11.86,2.74,0,1,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,11.9,2.58,0,1,0,0,1,composite,light,working,high,informal,100.0
PCB,3.65,1.6,0,1,0,0,1,composite,light,working,high,formal,82.98
PCB,4.58,1.4,0,1,0,0,1,composite,light,damaged,low,none,87.65
PCB,3.19,10.8,0,1,0,0,1,composite,light,broken,medium,informal,96.13
PCB,8.2,19.88,0,1,0,0,1,composite,light,damaged,medium,none,93.91
PCB,5.85,1.21,0,1,0,0,1,composite,light,damaged,high,formal,93.06
PCB,6.66,1.94,0,1,0,0,1,composite,light,damaged,high,informal,100.0
PCB,8.15,15.91,0,1,0,0,1,composite,light,broken,low,informal,100.0
PCB,10.18,10.42,0,1,0,0,1,composite,light,damaged,low,none,100.0
PCB,1.97,16.52,0,1,0,0,1,composite,light,broken,high,formal,94.08
PCB,4.64,1.76,0,1,0,0,1,composite,light,broken,medium,informal,99.01
PCB,5.07,8.95,0,1,0,0,1,composite,light,damaged,medium,none,96.08
PCB,10.29,4.18,0,1,0,0,1,composite,light,broken,low,none,100.0
PCB,4.88,17.56,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,5.13,3.48,0,1,0,0,1,composite,light,damaged,medium,none,94.22
PCB,7.87,16.45,0,1,0,0,1,composite,light,working,high,none,100.0
PCB,9.3,3.51,0,1,0,0,1,composite,light,damaged,medium,formal,93.95
PCB,4.73,1.37,0,1,0,0,1,composite,light,working,low,none,85.7
PCB,5.47,6.24,0,1,0,0,1,composite,light,damaged,medium,formal,90.78
PCB,7.87,4.33,0,1,0,0,1,composite,light,damaged,medium,formal,90.69
PCB,11.94,1.17,0,1,0,0,1,composite,light,damaged,high,formal,100.0
PCB,2.14,2.44,0,1,0,0,1,composite,light,damaged,low,none,87.63
PCB,11.96,16.28,0,1,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,6.56,8.53,0,1,0,0,1,composite,light,working,high,informal,95.84
PCB,5.26,16.55,0,1,0,0,1,composite,light,broken,high,formal,97.63
PCB,5.29,9.63,0,1,0,0,1,composite,light,working,medium,none,88.78
PCB,2.97,0.25,0,1,0,0,1,composite,light,working,high,none,87.1
PCB,11.54,9.76,0,1,0,0,1,composite,light,working,medium,informal,91.23
PCB,4.23,14.75,0,1,0,0,1,composite,light,damaged,medium,informal,95.92
PCB,5.78,15.7,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,5.53,5.1,0,1,0,0,1,composite,light,broken,low,none,93.16
PCB,5.81,12.75,0,1,0,0,1,composite,light,damaged,high,informal,100.0
PCB,6.46,3.01,0,1,0,0,1,composite,light,broken,medium,none,100.0
PCB,0.98,1.7,0,1,0,0,1,composite,light,broken,low,formal,83.97
PCB,3.91,7.0,0,1,0,0,1,composite,light,broken,medium,formal,99.89
PCB,2.5,1.98,0,1,0,0,1,composite,light,damaged,high,formal,95.43
PCB,4.89,4.12,0,1,0,0,1,composite,light,working,medium,none,93.12
PCB,7.9,10.61,0,1,0,0,1,composite,light,working,high,none,100.0
PCB,9.1,16.24,0,1,0,0,1,composite,light,damaged,low,informal,100.0
PCB,11.17,4.5,0,1,0,0,1,composite,light,damaged,medium,informal,100.0
PCB,3.27,2.44,0,1,0,0,1,composite,light,working,high,informal,94.51
PCB,3.79,16.32,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,5.8,16.84,0,1,0,0,1,composite,light,broken,high,none,100.0
PCB,2.54,10.91,0,1,0,0,1,composite,light,broken,high,formal,98.67
PCB,8.85,16.36,0,1,0,0,1,composite,light,working,medium,none,92.27
PCB,8.93,10.85,0,1,0,0,1,composite,light,damaged,medium,formal,100.0
PCB,10.54,12.73,0,1,0,0,1,composite,light,broken,low,informal,100.0
Mobile,0.61,4.94,1,0,0,0,1,composite,light,broken,high,formal,96.88
Mobile,2.85,11.11,1,0,0,0,1,composite,light,broken,medium,formal,86.72
Mobile,4.59,15.68,1,0,0,0,1,composite,light,damaged,low,none,79.7
Mobile,2.21,6.12,1,0,0,0,1,composite,light,broken,high,informal,96.23
Mobile,5.66,14.44,1,0,0,0,1,composite,light,broken,medium,informal,100.0
Mobile,0.54,12.4,1,0,0,0,1,composite,light,damaged,high,formal,82.64
Mobile,7.26,9.62,1,0,0,0,1,composite,light,damaged,low,informal,98.16
Mobile,7.44,13.53,1,0,0,0,1,composite,light,broken,medium,none,100.0
Mobile,6.23,1.55,1,0,0,0,1,composite,light,working,medium,none,88.27
Mobile,6.45,8.81,1,0,0,0,1,composite,light,working,medium,informal,89.47
Mobile,1.52,4.42,1,0,0,0,1,composite,light,damaged,high,none,92.58
Mobile,5.34,12.73,1,0,0,0,1,composite,light,broken,low,informal,96.72
Mobile,10.16,7.68,1,0,0,0,1,composite,light,damaged,medium,formal,85.36
Mobile,0.8,0.49,1,0,0,0,1,composite,light,broken,medium,informal,88.26
Mobile,3.94,18.81,1,0,0,0,1,composite,light,damaged,medium,none,87.25
Mobile,9.73,9.17,1,0,0,0,1,composite,light,damaged,low,formal,88.28
Mobile,8.87,9.93,1,0,0,0,1,composite,light,damaged,high,none,100.0
Mobile,2.06,15.03,1,0,0,0,1,composite,light,damaged,high,formal,83.08
Mobile,1.16,5.65,1,0,0,0,1,composite,light,damaged,low,none,78.03
Mobile,9.23,9.0,1,0,0,0,1,composite,light,broken,low,informal,95.39
Mobile,0.89,1.26,1,0,0,0,1,composite,light,broken,low,informal,82.01
Mobile,10.85,0.45,1,0,0,0,1,composite,light,damaged,high,informal,99.89
Mobile,11.27,1.05,1,0,0,0,1,composite,light,damaged,medium,none,91.56
Mobile,7.0,9.28,1,0,0,0,1,composite,light,broken,medium,informal,100.0
Mobile,1.81,3.03,1,0,0,0,1,composite,light,working,medium,none,83.24
Mobile,1.82,17.2,1,0,0,0,1,composite,light,broken,low,none,98.84
Mobile,6.75,1.64,1,0,0,0,1,composite,light,damaged,medium,formal,85.31
Mobile,5.24,13.02,1,0,0,0,1,composite,light,damaged,low,informal,96.32
Mobile,9.77,9.19,1,0,0,0,1,composite,light,working,high,formal,86.89
Mobile,4.3,15.14,1,0,0,0,1,composite,light,damaged,low,none,83.12
Mobile,10.62,17.41,1,0,0,0,1,composite,light,working,medium,none,88.76
Mobile,10.96,10.78,1,0,0,0,1,composite,light,damaged,low,none,89.06
Mobile,9.95,7.61,1,0,0,0,1,composite,light,broken,high,formal,95.62
Mobile,9.62,11.56,1,0,0,0,1,composite,light,damaged,high,informal,100.0
Mobile,11.02,10.67,1,0,0,0,1,composite,light,working,medium,none,92.34
Mobile,10.92,5.55,1,0,0,0,1,composite,light,broken,low,formal,91.29
Mobile,2.62,17.88,1,0,0,0,1,composite,light,damaged,low,informal,82.2
Mobile,10.65,16.07,1,0,0,0,1,composite,light,damaged,high,informal,100.0
Mobile,11.82,13.36,1,0,0,0,1,composite,light,damaged,low,none,87.24
